taxon	term	p.value	method	fdr
f__Elusimicrobiaceae; g__	treatment	0.6539958281042669	LMM	0.8894343262218031
f__Elusimicrobiaceae; g__	day	0.291854318212517	LMM	0.32009828449114763
f__Elusimicrobiaceae; g__	treatment:day	0.6910165762995861	LMM	0.8971982600122219
f__Fibrobacteraceae; g__	treatment	0.021684851240222573	LMM	0.24576164738918918
f__Fibrobacteraceae; g__	day	0.010291778493759698	LMM	0.02916003906565248
f__Fibrobacteraceae; g__	treatment:day	0.7380456013149941	LMM	0.8971982600122219
f__Lactobacillaceae; g__	treatment	0.7415404279748496	LMM	0.9077454379916562
f__Lactobacillaceae; g__	day	0.19941299235433407	LMM	0.2421443478588342
f__Lactobacillaceae; g__	treatment:day	0.721909436683495	LMM	0.8971982600122219
g__Lactobacillus	treatment	0.5296657727326759	LMM	0.7925649649915362
g__Lactobacillus	day	0.002066580148190173	LMM	0.008782965629808235
g__Lactobacillus	treatment:day	0.075889096829955	LMM	0.430038215369745
f__Clostridiaceae; g__02d06	treatment	0.03305019972990925	LMM	0.2809266977042287
f__Clostridiaceae; g__02d06	day	4.8571545953310564e-4	LMM	0.0033028651248251184
f__Clostridiaceae; g__02d06	treatment:day	0.012457760970511728	LMM	0.31340228937686815
g__Caloramator	treatment	0.747555066581364	LMM	0.9077454379916562
g__Caloramator	day	0.018918677077342887	LMM	0.042882334708643874
g__Caloramator	treatment:day	0.802062541862408	LMM	0.8971982600122219
g__Clostridium	treatment	0.9589782175827322	LMM	0.9589782175827322
g__Clostridium	day	0.01696631529105974	LMM	0.041203908564002224
g__Clostridium	treatment:day	0.29984402418588696	LMM	0.8223951822226493
f__Clostridiaceae; g__SMB53	treatment	0.3477628491546202	LMM	0.7925649649915362
f__Clostridiaceae; g__SMB53	day	2.7435664585450725e-5	LMM	9.328125959053246e-4
f__Clostridiaceae; g__SMB53	treatment:day	0.10082980594058079	LMM	0.48974477171139236
g__Pseudoramibacter_Eubacterium	treatment	0.05682911902074986	LMM	0.32203167445091585
g__Pseudoramibacter_Eubacterium	day	0.001113606091558986	LMM	0.005408943873286502
g__Pseudoramibacter_Eubacterium	treatment:day	0.6002041026776811	LMM	0.8821188849784414
g__Anaerostipes	treatment	0.45378546051357893	LMM	0.7925649649915362
g__Anaerostipes	day	0.19581548070559482	LMM	0.2421443478588342
g__Anaerostipes	treatment:day	0.03431505289138717	LMM	0.31340228937686815
g__Dorea	treatment	0.5908961312449333	LMM	0.8371028525969889
g__Dorea	day	6.079619298458489e-5	LMM	0.001033535280737943
g__Dorea	treatment:day	0.24841700056355534	LMM	0.7890305325384677
g__Epulopiscium	treatment	0.47098352498352514	LMM	0.7925649649915362
g__Epulopiscium	day	0.06939198946258773	LMM	0.11796638208639915
g__Epulopiscium	treatment:day	0.3400041780208458	LMM	0.8223951822226493
g__Lachnospira	treatment	0.5209671158881941	LMM	0.7925649649915362
g__Lachnospira	day	0.3655372454560768	LMM	0.3883833232970816
g__Lachnospira	treatment:day	0.25527458405656306	LMM	0.7890305325384677
g__Faecalibacterium	treatment	0.8945737430591698	LMM	0.9589782175827322
g__Faecalibacterium	day	3.643737834833986e-4	LMM	0.0030971771596088877
g__Faecalibacterium	treatment:day	0.04813432926111491	LMM	0.3273134389755814
g__Ruminococcus	treatment	0.12510814566126122	LMM	0.47263077249809793
g__Ruminococcus	day	0.03916590884206474	LMM	0.07008636319106322
g__Ruminococcus	treatment:day	0.8180337076582024	LMM	0.8971982600122219
g__Acidaminococcus	treatment	0.10108594296424654	LMM	0.47263077249809793
g__Acidaminococcus	day	0.0795891469519886	LMM	0.1288586188746482
g__Acidaminococcus	treatment:day	0.442391861497873	LMM	0.8223951822226493
g__Dialister	treatment	0.4543814470842108	LMM	0.7925649649915362
g__Dialister	day	0.423208511509075	LMM	0.43603301185783483
g__Dialister	treatment:day	0.5973545913693395	LMM	0.8821188849784414
f__[Acidaminobacteraceae]; g__	treatment	0.16710524074288302	LMM	0.5681578185258023
f__[Acidaminobacteraceae]; g__	day	0.26225215091127224	LMM	0.29721910436610854
f__[Acidaminobacteraceae]; g__	treatment:day	0.1705925606750313	LMM	0.7250183828688831
g__Bulleidia	treatment	0.01139700308002963	LMM	0.19374905236050372
g__Bulleidia	day	2.2721821131073408e-4	LMM	0.0025751397281883197
g__Bulleidia	treatment:day	0.3399856479862028	LMM	0.8223951822226493
g__Catenibacterium	treatment	0.047650307977391	LMM	0.32203167445091585
g__Catenibacterium	day	0.03680841574068893	LMM	0.07008636319106322
g__Catenibacterium	treatment:day	0.2414979825483931	LMM	0.7890305325384677
f__Erysipelotrichaceae; g__p-75-a5	treatment	0.5361468880825098	LMM	0.7925649649915362
f__Erysipelotrichaceae; g__p-75-a5	day	0.1049138153220953	LMM	0.1550899878674452
f__Erysipelotrichaceae; g__p-75-a5	treatment:day	0.9687504416464172	LMM	0.9777417234392709
c__Alphaproteobacteria; o__RF32; f__; g__	treatment	0.9025393212714773	LMM	0.9589782175827322
c__Alphaproteobacteria; o__RF32; f__; g__	day	0.14330995216892756	LMM	0.1949015349497415
c__Alphaproteobacteria; o__RF32; f__; g__	treatment:day	0.7674941398506068	LMM	0.8971982600122219
o__Tremblayales; f__; g__	treatment	0.23749113130204774	LMM	0.734063496751784
o__Tremblayales; f__; g__	day	0.02638718687083854	LMM	0.056072772100531895
o__Tremblayales; f__; g__	treatment:day	0.6226721541024292	LMM	0.8821188849784414
g__Campylobacter	treatment	0.4285793827475365	LMM	0.7925649649915362
g__Campylobacter	day	0.8714332166348977	LMM	0.8714332166348977
g__Campylobacter	treatment:day	0.8830944501318334	LMM	0.938287853265073
g__Escherichia	treatment	7.819707042616167e-4	LMM	0.026587003944894966
g__Escherichia	day	0.004445956315306525	LMM	0.01466393045100859
g__Escherichia	treatment:day	0.036870857573749194	LMM	0.31340228937686815
