taxon	term	p.value	method	fdr
g__Methanosphaera	treatment	0.4606988378381991	LMM	0.7925649649915362
g__Methanosphaera	day	0.0029958733703194045	LMM	0.011317743843428861
g__Methanosphaera	treatment:day	0.01953713255729782	LMM	0.31340228937686815
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment	0.12355072820969007	LMM	0.47263077249809793
f__[Methanomassiliicoccaceae]; g__vadinCA11	day	0.096381266232332	LMM	0.14895286599542218
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment:day	0.3942049916281296	LMM	0.8223951822226493
g__Bacteroides	treatment	0.3692920935584406	LMM	0.7925649649915362
g__Bacteroides	day	0.1709010522047515	LMM	0.22348599134467503
g__Bacteroides	treatment:day	0.9777417234392709	LMM	0.9777417234392709
o__Bacteroidales; f__GZKB119; g__	treatment	0.9058439629176178	LMM	0.9589782175827322
o__Bacteroidales; f__GZKB119; g__	day	0.012733847166374046	LMM	0.03330390797359366
o__Bacteroidales; f__GZKB119; g__	treatment:day	0.6167891043074117	LMM	0.8821188849784414
g__Parabacteroides	treatment	0.8944700945713924	LMM	0.9589782175827322
g__Parabacteroides	day	0.0389201982825048	LMM	0.07008636319106322
g__Parabacteroides	treatment:day	0.507907800962613	LMM	0.8634432616364421
f__Prevotellaceae; g__	treatment	0.5222140451187678	LMM	0.7925649649915362
f__Prevotellaceae; g__	day	7.232888598019367e-4	LMM	0.004098636872210975
f__Prevotellaceae; g__	treatment:day	0.38567110235196184	LMM	0.8223951822226493
g__Prevotella	treatment	0.9338806399227741	LMM	0.9589782175827322
g__Prevotella	day	0.004744212792973368	LMM	0.01466393045100859
g__Prevotella	treatment:day	0.7587216637571242	LMM	0.8971982600122219
o__Bacteroidales; f__RF16; g__	treatment	0.7217690078878566	LMM	0.9077454379916562
o__Bacteroidales; f__RF16; g__	day	0.11045529293355033	LMM	0.15647833165586297
o__Bacteroidales; f__RF16; g__	treatment:day	0.44390638525334075	LMM	0.8223951822226493
g__Paraprevotella	treatment	0.37783768600501655	LMM	0.7925649649915362
g__Paraprevotella	day	0.23176760834515858	LMM	0.2717275408184618
g__Paraprevotella	treatment:day	0.45957377830089224	LMM	0.8223951822226493
