taxon	term	p.value	method	fdr
g__Methanosphaera	treatment	0.46803378917310556	LMM	0.8522191581130316
g__Methanosphaera	day	2.4222468899883305e-12	LMM	4.360044401978995e-11
g__Methanosphaera	treatment:day	0.6931831615189951	LMM	0.8605032349890973
g__Actinomyces	treatment	0.43423303757181686	LMM	0.8522191581130316
g__Actinomyces	day	4.690506295715869e-5	LMM	1.2061301903269379e-4
g__Actinomyces	treatment:day	0.015547213440495663	LMM	0.1395685334062849
g__Arcanobacterium	treatment	0.23520200089537618	LMM	0.6330445600057
g__Arcanobacterium	day	7.303300412091906e-4	LMM	0.0013145940741765433
g__Arcanobacterium	treatment:day	0.032699126428046996	LMM	0.1471460689262115
g__Corynebacterium	treatment	0.8258737017010049	LMM	0.900953129128369
g__Corynebacterium	day	0.011189591773399616	LMM	0.015493280917014853
g__Corynebacterium	treatment:day	0.0061212916766897555	LMM	0.1101832501804156
g__Bacteroides	treatment	0.7008915597776344	LMM	0.8522191581130316
g__Bacteroides	day	0.0751699331934918	LMM	0.08729411596663564
g__Bacteroides	treatment:day	0.4589312502992243	LMM	0.7098571719489816
o__Bacteroidales; f__GZKB119; g__	treatment	0.2335532702698903	LMM	0.6330445600057
o__Bacteroidales; f__GZKB119; g__	day	0.5136188276475432	LMM	0.5419737022202009
o__Bacteroidales; f__GZKB119; g__	treatment:day	0.010527317106836097	LMM	0.12632780528203316
g__Parabacteroides	treatment	0.018593561695049072	LMM	0.3346841105108833
g__Parabacteroides	day	0.020402102689602873	LMM	0.027202803586137164
g__Parabacteroides	treatment:day	0.7942279803206176	LMM	0.9223292674691044
f__Prevotellaceae; g__	treatment	0.6934310285900351	LMM	0.8522191581130316
f__Prevotellaceae; g__	day	2.6388068804930637e-5	LMM	7.586459567309416e-5
f__Prevotellaceae; g__	treatment:day	0.49549176728821154	LMM	0.7098571719489816
g__Prevotella	treatment	0.5931449736770649	LMM	0.8522191581130316
g__Prevotella	day	0.0023475098152971113	LMM	0.003521264722945667
g__Prevotella	treatment:day	0.030119276632421338	LMM	0.1471460689262115
g__Butyricimonas	treatment	0.46084272943289206	LMM	0.8522191581130316
g__Butyricimonas	day	0.05710029985160451	LMM	0.0685203598219254
g__Butyricimonas	treatment:day	0.4979620937034003	LMM	0.7098571719489816
f__Lactobacillaceae; g__	treatment	0.08903655077760912	LMM	0.45348336373937903
f__Lactobacillaceae; g__	day	4.327456118529614e-4	LMM	9.164024721592124e-4
f__Lactobacillaceae; g__	treatment:day	0.9721810749873481	LMM	0.9867455334518422
g__Lactobacillus	treatment	0.6624709469487997	LMM	0.8522191581130316
g__Lactobacillus	day	0.22767080689329805	LMM	0.2561296577549603
g__Lactobacillus	treatment:day	0.7376801059776095	LMM	0.8852161271731314
g__Turicibacter	treatment	0.7113774908124473	LMM	0.8522191581130316
g__Turicibacter	day	6.268112417951278e-9	LMM	4.5130409409249205e-8
g__Turicibacter	treatment:day	0.9086218983295904	LMM	0.9620702452901545
f__Clostridiaceae; g__02d06	treatment	0.19278338165615425	LMM	0.6309274308746866
f__Clostridiaceae; g__02d06	day	2.1143013245728853e-9	LMM	1.902871192115597e-8
f__Clostridiaceae; g__02d06	treatment:day	0.19638869672450712	LMM	0.5945333692502123
g__Caloramator	treatment	0.9416460645037334	LMM	0.9685502377752686
g__Caloramator	day	1.93203793754666e-5	LMM	6.323033250152706e-5
g__Caloramator	treatment:day	0.8494048708394498	LMM	0.9266234954612179
g__Clostridium	treatment	0.4882293692560886	LMM	0.8522191581130316
g__Clostridium	day	0.006848244557441698	LMM	0.009861472162716045
g__Clostridium	treatment:day	0.6294014434976004	LMM	0.8392019246634672
f__Clostridiaceae; g__SMB53	treatment	0.8664075867536059	LMM	0.9173727389155827
f__Clostridiaceae; g__SMB53	day	8.514142702930053e-5	LMM	1.9794591171880878e-4
f__Clostridiaceae; g__SMB53	treatment:day	0.18275540133584067	LMM	0.5945333692502123
g__Pseudoramibacter_Eubacterium	treatment	0.541109027084334	LMM	0.8522191581130316
g__Pseudoramibacter_Eubacterium	day	1.4218333396310276e-9	LMM	1.706200007557233e-8
g__Pseudoramibacter_Eubacterium	treatment:day	0.5126746241853756	LMM	0.7098571719489816
g__Epulopiscium	treatment	0.002212909172224145	LMM	0.07966473020006921
g__Epulopiscium	day	9.599999654661545e-4	LMM	0.0016457142265134076
g__Epulopiscium	treatment:day	0.4803669563281243	LMM	0.7098571719489816
g__Lachnospira	treatment	0.11337084093484476	LMM	0.45348336373937903
g__Lachnospira	day	1.790819053772122e-7	LMM	9.209926562256628e-7
g__Lachnospira	treatment:day	0.3641587891167982	LMM	0.6899850741160387
g__Faecalibacterium	treatment	0.10408106782684196	LMM	0.45348336373937903
g__Faecalibacterium	day	0.049361679158828914	LMM	0.06127656723164969
g__Faecalibacterium	treatment:day	0.19817778975007075	LMM	0.5945333692502123
g__Ruminococcus	treatment	0.3606600968287359	LMM	0.8522191581130316
g__Ruminococcus	day	4.336544397992786e-6	LMM	1.561155983277403e-5
g__Ruminococcus	treatment:day	0.315398791495046	LMM	0.630797582990092
g__Acidaminococcus	treatment	0.7338553861528883	LMM	0.8522191581130316
g__Acidaminococcus	day	3.331713319139754e-7	LMM	1.4992709936128894e-6
g__Acidaminococcus	treatment:day	1.461275403155333e-4	LMM	0.0052605914513591985
f__[Acidaminobacteraceae]; g__	treatment	0.7173231548529748	LMM	0.8522191581130316
f__[Acidaminobacteraceae]; g__	day	2.7395548437506226e-5	LMM	7.586459567309416e-5
f__[Acidaminobacteraceae]; g__	treatment:day	0.9867455334518422	LMM	0.9867455334518422
g__Anaerococcus	treatment	0.16498719212010698	LMM	0.5939538916323852
g__Anaerococcus	day	8.797596076391501e-5	LMM	1.9794591171880878e-4
g__Anaerococcus	treatment:day	0.2988410439549797	LMM	0.630797582990092
g__Bulleidia	treatment	0.9835755379536009	LMM	0.9835755379536009
g__Bulleidia	day	6.817843762318241e-4	LMM	0.0013124871951225013
g__Bulleidia	treatment:day	0.09231349028147892	LMM	0.3692539611259157
g__Catenibacterium	treatment	0.05148709254349547	LMM	0.4303861433895957
g__Catenibacterium	day	0.0017747023204932974	LMM	0.002777794936424292
g__Catenibacterium	treatment:day	0.026226313486705545	LMM	0.1471460689262115
f__Erysipelotrichaceae; g__p-75-a5	treatment	0.04558931976019166	LMM	0.4303861433895957
f__Erysipelotrichaceae; g__p-75-a5	day	9.839647146916535e-15	LMM	3.5422729728899526e-13
f__Erysipelotrichaceae; g__p-75-a5	treatment:day	0.2978100167139143	LMM	0.630797582990092
g__Cetobacterium	treatment	0.5513963222324809	LMM	0.8522191581130316
g__Cetobacterium	day	7.436231941596391e-7	LMM	2.9744927766385562e-6
g__Cetobacterium	treatment:day	0.689369299837842	LMM	0.8605032349890973
f__Rhizobiaceae; g__	treatment	0.8129289342288541	LMM	0.900953129128369
f__Rhizobiaceae; g__	day	0.0012784920151695245	LMM	0.0020920778430046764
f__Rhizobiaceae; g__	treatment:day	0.4914465449984562	LMM	0.7098571719489816
g__Campylobacter	treatment	0.2461839955577722	LMM	0.6330445600057
g__Campylobacter	day	9.043539063784767e-8	LMM	5.42612343827086e-7
g__Campylobacter	treatment:day	0.2970660742630335	LMM	0.630797582990092
g__Escherichia	treatment	0.05977585324855496	LMM	0.4303861433895957
g__Escherichia	day	0.7412018459176906	LMM	0.7412018459176906
g__Escherichia	treatment:day	0.26042229508231285	LMM	0.630797582990092
g__Aggregatibacter	treatment	0.6004965029340239	LMM	0.8522191581130316
g__Aggregatibacter	day	0.5269188771585287	LMM	0.5419737022202009
g__Aggregatibacter	treatment:day	0.39658785389296286	LMM	0.7098571719489816
g__Gallibacterium	treatment	0.5446710964478394	LMM	0.8522191581130316
g__Gallibacterium	day	0.4567623180603785	LMM	0.4982861651567765
g__Gallibacterium	treatment:day	0.8219377094848096	LMM	0.9246799231704108
f__Synergistaceae; g__vadinCA02	treatment	0.6232339562252445	LMM	0.8522191581130316
f__Synergistaceae; g__vadinCA02	day	6.927015752035423e-4	LMM	0.0013124871951225013
