taxon	term	p.value	method	fdr
g__Methanosphaera	treatment	0.8541370510612586	LM	0.9327151794432397
f__[Methanomassiliicoccaceae]; g__vadinCA11	treatment	0.0045958647076875594	LM	0.1700469941844397
g__Corynebacterium	treatment	0.11324559677940461	LM	0.6983478468063284
g__Bacteroides	treatment	0.32397942049407435	LM	0.8306835706898567
o__Bacteroidales; f__GZKB119; g__	treatment	0.8661334763007359	LM	0.9327151794432397
g__Parabacteroides	treatment	0.5163708682666677	LM	0.8306835706898567
f__Prevotellaceae; g__	treatment	0.018875554142359294	LM	0.23279850108909797
g__Prevotella	treatment	0.44094702631938143	LM	0.8306835706898567
o__Bacteroidales; f__RF16; g__	treatment	0.07750125028459788	LM	0.5735092521060243
g__Paraprevotella	treatment	0.4234506527942169	LM	0.8306835706898567
g__Pontibacter	treatment	0.3166052967603427	LM	0.8306835706898567
f__Elusimicrobiaceae; g__	treatment	0.28013485226781043	LM	0.8306835706898567
f__Fibrobacteraceae; g__	treatment	0.51072246967661	LM	0.8306835706898567
f__Lactobacillaceae; g__	treatment	0.8509556923025259	LM	0.9327151794432397
g__Lactobacillus	treatment	0.043569675325518004	LM	0.40301949676104154
g__Turicibacter	treatment	0.4402568228784205	LM	0.8306835706898567
f__Clostridiaceae; g__02d06	treatment	0.6984381988917977	LM	0.9327151794432397
g__Caloramator	treatment	0.9620530696878423	LM	0.9872183193940147
g__Clostridium	treatment	0.7762781750346317	LM	0.9327151794432397
f__Clostridiaceae; g__SMB53	treatment	0.5079825759968957	LM	0.8306835706898567
g__Pseudoramibacter_Eubacterium	treatment	0.24146625575339664	LM	0.8306835706898567
g__Anaerostipes	treatment	0.4133393818307992	LM	0.8306835706898567
g__Epulopiscium	treatment	0.4709748262595068	LM	0.8306835706898567
g__Lachnospira	treatment	0.7694526762362579	LM	0.9327151794432397
g__Faecalibacterium	treatment	0.8423862460272251	LM	0.9327151794432397
g__Ruminococcus	treatment	0.01029722119885612	LM	0.19049859217883822
g__Acidaminococcus	treatment	0.9872183193940147	LM	0.9872183193940147
f__[Acidaminobacteraceae]; g__	treatment	0.5131497628118913	LM	0.8306835706898567
g__Mogibacterium	treatment	0.882298142716578	LM	0.9327151794432397
g__Bulleidia	treatment	0.41733248550664226	LM	0.8306835706898567
g__Catenibacterium	treatment	0.7360839429693181	LM	0.9327151794432397
f__Erysipelotrichaceae; g__p-75-a5	treatment	0.7224331531438634	LM	0.9327151794432397
c__Alphaproteobacteria; o__RF32; f__; g__	treatment	0.7222108542708838	LM	0.9327151794432397
g__Campylobacter	treatment	0.4472447912442993	LM	0.8306835706898567
g__Escherichia	treatment	0.3283331361512911	LM	0.8306835706898567
k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16; g__	treatment	0.8277615792095157	LM	0.9327151794432397
g__Akkermansia	treatment	0.19044962434138682	LM	0.8306835706898567
